Date,Meal_Capital,Oil_Capital
2023-07-28,,48731.000000
2023-10-12,67022.000000,48731.000000
2023-10-25,74771.400000,48731.000000
2023-10-26,74771.400000,41642.000000
2023-11-03,64241.400000,41642.000000
2023-12-26,117177.400000,58673.000000
2024-01-02,123106.400000,58673.000000
2024-01-10,123106.400000,61941.000000
2024-01-12,154246.400000,61941.000000
2024-01-19,154246.400000,51426.000000
2024-02-19,127171.400000,51426.000000
2024-02-26,127171.400000,53814.000000
2024-03-18,177705.400000,53814.000000
2024-04-30,203264.400000,53814.000000
2024-05-23,203264.400000,65562.000000
2024-06-12,203264.400000,65847.000000
2024-06-20,221074.400000,65847.000000
2024-06-26,221074.400000,69132.000000
2024-07-17,300689.400000,69132.000000
2024-07-29,310142.400000,69132.000000
2024-08-27,310142.400000,60577.400000
2024-09-19,298323.400000,60577.400000
2024-09-25,288480.400000,60577.400000
2024-09-30,288480.400000,74805.400000
2024-10-08,235056.400000,74805.400000
2024-10-18,223863.400000,74805.400000
2024-10-28,219846.400000,81290.400000
2024-11-07,169952.400000,81290.400000
2024-11-12,169952.400000,73406.000000
2025-02-11,169952.400000,94491.000000
2025-02-12,236736.400000,94491.000000
2025-02-19,239550.400000,94491.000000
2025-02-24,228924.400000,94491.000000
2025-02-27,228924.400000,87582.000000
2025-03-06,228924.400000,86244.000000
2025-03-13,228924.400000,81786.000000
2025-03-19,228924.400000,79248.000000
2025-03-31,240691.400000,79248.000000
2025-04-29,170599.400000,88110.000000
